lat,lon,tot_men,tot_ind,ref_men,ref_ind,ret_men,ret_ind,idp_men,idp_ind,Departement,Commune,Localité,source
6.309615,18.6196305,686,3528,323,1661,135,687,228,1180,Diffa,Diffa,Festival,DREC novembre 2016
6.301,18.5929,297,1740,174,961,65,474,58,305,Diffa,Diffa,Sabon Carré,DREC novembre 2016
6.2685209,18.4900361,2334,11354,1074,5142,49,339,1211,5873,Chétimari,Diffa,Boudouri,DREC novembre 2016
6.22131751,18.43355426,958,4834,435,1802,-,-,523,3032,Chétimari,Diffa,Maïna Kaderi,DREC novembre 2016
6.2189746,18.0292091,357,1902,120,696,190,974,47,232,Maïné-Soroa,Maïné-Soroa,Djambourou Dune,DREC novembre 2016
6.2176,18.0468,580,3187,187,1196,169,904,224,1087,Maïné-Soroa,Maïné-Soroa,Guidan Kadji,DREC novembre 2016
6.2174827,18.0465509,213,1223,51,294,117,670,45,259,Maïné-Soroa,Maïné-Soroa,Marche De Betail,DREC novembre 2016
6.2149299,18.0322045,168,819,119,612,44,186,5,21,Maïné-Soroa,Maïné-Soroa,Site Aveugle,DREC novembre 2016
6.2134667,18.0291167,229,1106,131,573,52,282,46,251,Maïné-Soroa,Maïné-Soroa,Abdouri,DREC novembre 2016
6.20068269,18.42045853,1053,5164,902,4513,-,-,151,651,Chétimari,Diffa,Gagamari,DREC novembre 2016
6.19591496,18.12208637,306,1690,57,266,9,49,240,1375,Maïné-Soroa,Maïné-Soroa,Embranchement Tam,DREC novembre 2016
6.19036494,18.42325164,1031,4256,56,176,-,-,975,4080,Chétimari,Diffa,Ngourtoua,DREC novembre 2016
6.1855,18.1967,223,1193,16,83,101,546,106,564,Maïné-Soroa,Maïné-Soroa,Kouble Iguire,DREC novembre 2016
6.18310924,18.42100073,2395,12381,1335,6775,5,51,1055,5555,Chétimari,Diffa,Chetimari,DREC novembre 2016
6.595019,16.176745, 160,793,55,320,13,57,92,416,Toumour,Bosso,Kacharcho,DREC novembre 2016
6.17530887,18.2276932,94,489,37,158,40,229,17,102,Maïné-Soroa,Maïné-Soroa,Issari Bagara,DREC novembre 2016
6.16013524,18.40110858,201,974,17,84,-,-,184,890,Chétimari,Diffa,Mourimadi,DREC novembre 2016
